#'chr'	'start'	'end'	'CM_control_ATAC_S165169_REP1.mLb.clN.bigWig'	'CM_24h_ATAC_S165170_REP1.mLb.clN.bigWig'	'CM_48h_ATAC_S165167_REP1.mLb.clN.bigWig'	'SH_control_ATAC_S165166_REP1.mLb.clN.bigWig'	'SH_24h_ATAC_S165164_REP1.mLb.clN.bigWig'	'SH_48h_ATAC_S165165_REP1.mLb.clN.bigWig'	'CM_DMSO_ctrl_rep1_REP1.mLb.clN.bigWig'	'CM_DMSO_ctrl_rep2_REP1.mLb.clN.bigWig'	'CM_24h_rep1_REP1.mLb.clN.bigWig'	'CM_24h_rep2_REP1.mLb.clN.bigWig'	'CM_48h_rep1_REP1.mLb.clN.bigWig'	'CM_48h_rep2_REP1.mLb.clN.bigWig'	'SH_DMSO_ctrl_rep1_REP1.mLb.clN.bigWig'	'SH_DMSO_ctrl_rep2_REP1.mLb.clN.bigWig'	'SH_24h_rep1_REP1.mLb.clN.bigWig'	'SH_24h_rep2_REP1.mLb.clN.bigWig'	'SH_48h_rep1_REP1.mLb.clN.bigWig'	'SH_48h_rep2_REP1.mLb.clN.bigWig'
2	33129797	33170001	0.14084205106738693	0.14572057333986033	0.10864224846190536	0.17466399721826117	0.18149030568087066	0.2108152801881014	0.17442828782897096	0.10387144455352576	0.13736989282116627	0.1100764465155007	0.21676378008186808	0.10001998916669892	0.15892820823947426	0.12299004696682204	0.10554503967518343	0.10156799125493297	0.1181531989593226	0.13951265065328083
2	36338247	36573801	0.17199138419981516	0.17423428302412192	0.13719461825371274	0.22787089632300397	0.20308942232295116	0.19673426721479567	0.1675401242706081	0.1183341809402146	0.12931682520887064	0.12238251195914714	0.1968399140379261	0.11203081863945866	0.17531619506449087	0.15037047450730293	0.13846521413710472	0.12279127125778379	0.12459835930049769	0.16706406395171072
2	55092947	55121751	0.2000201305963787	0.2256209731567649	0.18362307497663657	0.18855424039803131	0.1690409532061666	0.15822203478714766	0.2538103056808157	0.15439309604641546	0.20947743012331174	0.18418002610852383	0.3711865742826053	0.1720299196461993	0.16500703500512076	0.1399668499089082	0.1206655029349655	0.12655084824558782	0.1397679360683015	0.16048100656359668
2	62709894	62829051	0.09835406423797949	0.11675927256161844	0.08514566529237376	0.12466235610860975	0.09707319415182736	0.06851689602294536	0.21933164219863505	0.08902390881355021	0.145480950436754	0.12067312850622737	0.2971560586003721	0.050529056141953216	0.059595232670905066	0.07651632493743038	0.06309942994691049	0.1154498497711058	0.053276595761748535	0.16445202413466925
2	63844877	63896501	0.12026591949292353	0.09519946768328301	0.11173848810321253	0.14874419119240445	0.16422274210062468	0.13777499088575249	0.08199050550933293	0.09279017678448195	0.056737996060921884	0.09736178342704263	0.14929684193979248	0.04000690444095145	0.1142115244502447	0.07351164317351687	0.06649178006679093	0.062387370831954586	0.07645628160632933	0.1088204227388105
2	68027447	68060026	0.11435221252320193	0.14765198534551016	0.11809430393071642	0.13082522791942772	0.1431727833439056	0.11944496275810146	0.12042423097422617	0.11722011263060526	0.08579806197402533	0.11532858383834095	0.19143300896620472	0.10639895722119143	0.13852819300742356	0.12504295543257815	0.10781277419617177	0.11608041780282853	0.11353323144616548	0.147992730334297
2	68166547	68259001	0.14553696795393609	0.16527156360548764	0.11687022886420992	0.12322579090587384	0.13657388743973703	0.11791567769975213	0.18713809608865586	0.07761739279465835	0.09648774569123238	0.08968416161278092	0.17925766363474993	0.09120812661238725	0.0861965727568434	0.0827426140675403	0.09349869205430268	0.07929033230644103	0.09160976331380556	0.11533896610247747
2	69016141	69255351	0.13240906460860913	0.1529747692740303	0.12726667648333545	0.09911518106836946	0.09624739871356376	0.10519140487538635	0.22424465060368545	0.11080875807326289	0.15793080497757528	0.1239059752772452	0.2886539378120704	0.10751950395176134	0.10394812469824496	0.0852226651685467	0.08838382624552246	0.07534135437493372	0.08982241895560875	0.1296214235942845
2	69754597	69803851	0.20378428711133362	0.2280916754246548	0.16057455347303168	0.16214013764402377	0.15052206522175895	0.17211802722951378	0.24207911901305176	0.14226595515863596	0.18658629388123038	0.17561024415755597	0.32907949608843984	0.14719470121831393	0.17498972039557528	0.18527732816598644	0.17602731644763425	0.1332878947370197	0.15756216855639119	0.22067842408849433
2	70090450	70144501	0.27116309767437	0.2776855226082091	0.2416018845815	0.16852332833152553	0.17814564504774008	0.2117123847863434	0.22999640033844312	0.12258536066164166	0.18044451891949279	0.19707489488690114	0.2700240697783561	0.12026771989520112	0.17517221756111237	0.15316515612853895	0.13472118357156415	0.15488957950605675	0.14049610138818786	0.2470617773029848
