Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	1	-1	-1	-1
1	25001	-1	-1	-1
1	50001	-1	-1	-1
1	75001	-1	-1	-1
1	100001	-1	-1	-1
1	125001	-1	-1	-1
1	150001	-1	-1	-1
1	175001	-1	-1	-1
1	200001	-1	-1	-1
1	225001	-1	-1	-1
1	250001	-1	-1	-1
1	275001	-1	-1	-1
1	300001	-1	-1	-1
1	325001	-1	-1	-1
1	350001	-1	-1	-1
1	375001	-1	-1	-1
1	400001	-1	-1	-1
1	425001	-1	-1	-1
1	450001	-1	-1	-1
1	475001	-1	-1	-1
1	500001	-1	-1	-1
1	525001	-1	-1	-1
1	550001	-1	-1	-1
1	575001	-1	-1	-1
1	600001	-1	-1	-1
1	625001	-1	-1	-1
1	650001	-1	-1	-1
1	675001	-1	-1	-1
1	700001	-1	-1	-1
1	725001	-1	-1	-1
1	750001	-1	-1	-1
1	775001	-1	-1	-1
1	800001	-1	-1	-1
1	825001	-1	-1	-1
1	850001	-1	-1	-1
1	875001	0.556494	0.525835	-1
1	900001	0.751427	0.525835	-1
1	925001	0.730852	0.525835	-1
1	950001	0.55022	0.525835	-1
1	975001	0.615695	0.525835	-1
1	1000001	0.909023	0.525835	-1
1	1025001	0.512499	0.525835	-1
1	1050001	0.539242	0.525835	-1
1	1075001	0.454659	0.525835	-1
1	1100001	0.693402	0.525835	-1
1	1125001	0.444866	0.525835	-1
1	1150001	0.530097	0.525835	-1
1	1175001	0.505225	0.525835	-1
1	1200001	0.398042	0.525835	-1
1	1225001	0.592541	0.525835	-1
1	1250001	0.613168	0.525835	-1
1	1275001	0.464556	0.525835	-1
1	1300001	0.704794	0.525835	-1
1	1325001	0.535825	0.525835	-1
1	1350001	0.623029	0.525835	-1
1	1375001	0.706594	0.525835	-1
1	1400001	0.559287	0.525835	-1
1	1425001	0.513082	0.525835	-1
1	1450001	0.62689	0.525835	-1
1	1475001	0.580678	0.525835	-1
1	1500001	0.786561	0.525835	-1
1	1525001	0.471425	0.525835	-1
1	1550001	0.531048	0.525835	-1
1	1575001	0.638793	0.525835	-1
1	1600001	0.60349	0.525835	-1
1	1625001	-1	0.525835	-1
1	1650001	0.677961	0.525835	-1
1	1675001	-1	0.525835	-1
1	1700001	-1	0.525835	-1
1	1725001	-1	0.525835	-1
1	1750001	0.449077	0.525835	-1
1	1775001	0.557555	0.525835	-1
1	1800001	0.424148	0.525835	-1
1	1825001	0.50965	0.525835	-1
1	1850001	0.461402	0.525835	-1
1	1875001	0.59146	0.525835	-1
1	1900001	0.770986	0.525835	-1
1	1925001	0.457333	0.525835	-1
1	1950001	0.440946	0.525835	-1
1	1975001	0.547818	0.525835	-1
1	2000001	0.526986	0.525835	-1
1	2025001	0.456165	0.525835	-1
1	2050001	0.539295	0.525835	-1
1	2075001	0.48724	0.525835	-1
1	2100001	0.47642	0.525835	-1
1	2125001	0.572348	0.525835	-1
1	2150001	0.392565	0.525835	-1
1	2175001	0.641789	0.525835	-1
1	2200001	0.72472	0.525835	-1
1	2225001	0.619764	0.525835	-1
1	2250001	0.565818	0.525835	-1
1	2275001	0.479431	0.525835	-1
1	2300001	0.471555	0.525835	-1
1	2325001	0.487104	0.525835	-1
1	2350001	0.582196	0.525835	-1
1	2375001	0.589589	0.525835	-1
1	2400001	0.644616	0.525835	-1
1	2425001	0.519109	0.525835	-1
1	2450001	-1	0.525835	-1
1	2475001	-1	0.525835	-1
1	2500001	-1	0.525835	-1
1	2525001	-1	0.525835	-1
1	2550001	-1	0.525835	-1
1	2575001	-1	0.525835	-1
1	2600001	-1	0.525835	-1
1	2625001	-1	0.525835	-1
1	2650001	-1	0.525835	-1
1	2675001	-1	0.525835	-1
1	2700001	-1	0.525835	-1
1	2725001	-1	0.525835	-1
1	2750001	-1	0.525835	-1
1	2775001	-1	0.525835	-1
1	2800001	0.513248	0.525835	-1
1	2825001	0.534894	0.525835	-1
1	2850001	0.619142	0.525835	-1
1	2875001	0.506503	0.525835	-1
1	2900001	0.514497	0.525835	-1
1	2925001	0.531103	0.525835	-1
1	2950001	0.39414	0.525835	-1
1	2975001	0.511726	0.525835	-1
1	3000001	0.500022	0.525835	-1
1	3025001	0.488116	0.525835	-1
