ensembl_id	gene_symbol	baseMean	MeanExpr_DMSO	MeanExpr_TDI	log2FoldChange	lfcSE	FoldChange	pvalue	padj	gene_biotype	location	DMSO-OE_WWTR1_DMSO_RNA_S165191_R1	DMSO-OE_WWTR1_DMSO_RNA_S165191_R2	TDI-OE_WWTR1_TDI_RNA_S165188_R1	TDI-OE_WWTR1_TDI_RNA_S165188_R2
ENSG00000100604	CHGA	15609.1602922235	20853.3602911482	10364.9602932988	-1.00771094115166	0.0229508531820738	-2.01071825227084	0	0	protein_coding	chr14:92923150-92935285:+	20790.4153587377	20916.3052235587	10280.3275974479	10449.5929891497
ENSG00000102241	HTATSF1	5843.78937944664	1818.37154979224	9869.20720910104	2.43875557914698	0.0435915112480813	5.42173868045065	0	0	protein_coding	chrX:136497079-136512346:+	1781.72726484692	1855.01583473757	9885.07212699577	9853.34229120631
ENSG00000130600	H19	8542.16037311724	16305.236745459	779.084000775506	-4.38643417355742	0.0462003811944596	-20.9145372653234	0	0	lncRNA	chr11:1995176-2001470:-	16352.8244968052	16257.6489941127	808.016427940655	750.151573610357
ENSG00000132872	SYT4	6069.6290190904	3027.94474960078	9111.31328858002	1.58776666122252	0.0390351929034402	3.00583675844034	0	0	protein_coding	chr18:43267892-43277535:-	3055.16044020692	3000.72905899463	9125.88679447228	9096.73978268776
ENSG00000147256	ARHGAP36	10360.5878558625	17534.3398746376	3186.83583708749	-2.45913001148069	0.0331317217902855	-5.49885030035491	0	0	protein_coding	chrX:131058346-131089885:+	17290.6324878118	17778.0472614633	3229.30168749372	3144.36998668125
ENSG00000167244	IGF2	4256.1308971923	7173.40130196681	1338.86049241778	-2.41875489878255	0.0599460384710427	-5.34709348022631	0	0	protein_coding	chr11:2129112-2141238:-	7078.34592981887	7268.45667411475	1413.33774282892	1264.38324200665
ENSG00000026025	VIM	5282.83515514136	2650.87125745283	7914.79905282989	1.57555371155998	0.0479687594418419	2.9804986328769	1.08673186334755e-237	1.21795473584676e-234	protein_coding	chr10:17228241-17237593:+	2556.57897663377	2745.16353827188	8005.53562414635	7824.06248151343
ENSG00000080644	CHRNA3	3236.22386706384	5020.24127954134	1452.20645458635	-1.78604655474681	0.0567998241027503	-3.44868546491138	3.35128800180783e-218	3.46703633356258e-215	protein_coding	chr15:78593052-78621295:-	5081.86171421208	4958.62084487059	1464.93286251498	1439.48004665771
ENSG00000165731	RET	3328.49285676424	5124.61869277553	1532.36702075294	-1.73776239335953	0.0603544249495151	-3.3351748388652	1.89150034655435e-183	1.69591921072063e-180	protein_coding	chr10:43077064-43130351:+	5153.08763757968	5096.14974797139	1592.99932030718	1471.7347211987
ENSG00000143153	ATP1B1	4292.97230282083	2476.71910770834	6109.22549793331	1.29952401391611	0.0472300234326138	2.46147658164599	1.02792153570642e-167	8.13206866689159e-165	protein_coding	chr1:169105697-169132722:+	2443.26500763987	2510.17320777681	6106.65095141467	6111.80004445195
