Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	1	-1	-1	-1
1	25001	-1	-1	-1
1	50001	-1	-1	-1
1	75001	-1	-1	-1
1	100001	-1	-1	-1
1	125001	-1	-1	-1
1	150001	-1	-1	-1
1	175001	-1	-1	-1
1	200001	-1	-1	-1
1	225001	-1	-1	-1
1	250001	-1	-1	-1
1	275001	-1	-1	-1
1	300001	-1	-1	-1
1	325001	-1	-1	-1
1	350001	-1	-1	-1
1	375001	-1	-1	-1
1	400001	-1	-1	-1
1	425001	-1	-1	-1
1	450001	-1	-1	-1
1	475001	-1	-1	-1
1	500001	-1	-1	-1
1	525001	-1	-1	-1
1	550001	-1	-1	-1
1	575001	-1	-1	-1
1	600001	-1	-1	-1
1	625001	-1	-1	-1
1	650001	-1	-1	-1
1	675001	-1	-1	-1
1	700001	-1	-1	-1
1	725001	-1	-1	-1
1	750001	-1	-1	-1
1	775001	-1	-1	-1
1	800001	-1	-1	-1
1	825001	-1	-1	-1
1	850001	-1	-1	-1
1	875001	0.689021	0.553446	-1
1	900001	0.99834	0.553446	-1
1	925001	0.971216	0.553446	-1
1	950001	0.649836	0.553446	-1
1	975001	0.86592	0.553446	-1
1	1000001	0.958219	0.553446	-1
1	1025001	0.74127	0.553446	-1
1	1050001	0.625235	0.553446	-1
1	1075001	0.725935	0.553446	-1
1	1100001	0.839179	0.553446	-1
1	1125001	0.448234	0.553446	-1
1	1150001	0.403697	0.553446	-1
1	1175001	0.502609	0.553446	-1
1	1200001	0.508577	0.553446	-1
1	1225001	0.492976	0.553446	-1
1	1250001	0.686629	0.553446	-1
1	1275001	0.632287	0.553446	-1
1	1300001	1.12206	0.553446	-1
1	1325001	0.495348	0.553446	-1
1	1350001	0.569039	0.553446	-1
1	1375001	0.878645	0.553446	-1
1	1400001	0.656137	0.553446	-1
1	1425001	0.474203	0.553446	-1
1	1450001	0.923246	0.553446	-1
1	1475001	0.480319	0.553446	-1
1	1500001	0.838014	0.553446	-1
1	1525001	0.464022	0.553446	-1
1	1550001	0.677695	0.553446	-1
1	1575001	0.477546	0.553446	-1
1	1600001	0.843055	0.553446	-1
1	1625001	-1	0.553446	-1
1	1650001	0.68049	0.553446	-1
1	1675001	-1	0.553446	-1
1	1700001	-1	0.553446	-1
1	1725001	-1	0.553446	-1
1	1750001	0.436172	0.553446	-1
1	1775001	0.716047	0.553446	-1
1	1800001	0.436261	0.553446	-1
1	1825001	0.542619	0.553446	-1
1	1850001	0.501629	0.553446	-1
1	1875001	0.994326	0.553446	-1
1	1900001	1.06241	0.553446	-1
1	1925001	0.621532	0.553446	-1
1	1950001	0.429986	0.553446	-1
1	1975001	0.544282	0.553446	-1
1	2000001	0.633889	0.553446	-1
1	2025001	0.507513	0.553446	-1
1	2050001	0.580909	0.553446	-1
1	2075001	0.417647	0.553446	-1
1	2100001	0.515851	0.553446	-1
1	2125001	0.837985	0.553446	-1
1	2150001	0.488848	0.553446	-1
1	2175001	1.1396	0.553446	-1
1	2200001	1.2609	0.553446	-1
1	2225001	0.89816	0.553446	-1
1	2250001	0.602701	0.553446	-1
1	2275001	0.628482	0.553446	-1
1	2300001	0.646262	0.553446	-1
1	2325001	0.53872	0.553446	-1
1	2350001	0.520271	0.553446	-1
1	2375001	0.789389	0.553446	-1
1	2400001	0.811504	0.553446	-1
1	2425001	0.492047	0.553446	-1
1	2450001	-1	0.553446	-1
1	2475001	-1	0.553446	-1
1	2500001	-1	0.553446	-1
1	2525001	-1	0.553446	-1
1	2550001	-1	0.553446	-1
1	2575001	-1	0.553446	-1
1	2600001	-1	0.553446	-1
1	2625001	-1	0.553446	-1
1	2650001	-1	0.553446	-1
1	2675001	-1	0.553446	-1
1	2700001	-1	0.553446	-1
1	2725001	-1	0.553446	-1
1	2750001	-1	0.553446	-1
1	2775001	-1	0.553446	-1
1	2800001	0.38852	0.553446	-1
1	2825001	0.472908	0.553446	-1
1	2850001	0.570438	0.553446	-1
1	2875001	0.536416	0.553446	-1
1	2900001	0.510429	0.553446	-1
1	2925001	0.545046	0.553446	-1
1	2950001	0.453711	0.553446	-1
1	2975001	0.374219	0.553446	-1
1	3000001	0.531294	0.553446	-1
1	3025001	0.517564	0.553446	-1
